URL,Score,Performance,Accessibility,Best Practices,SEO
"/",96,98,100,96,91
"/guides/adobe/pdf/",97,100,100,96,90
"/guides/makingof",95,100,92,96,90
"/guides/office/",97,100,100,96,90
"/guides/office/excel/",98,100,100,100,90
"/guides/office/powerpoint/",98,100,100,100,90
"/guides/office/word/",98,100,100,100,90
"/guides/screenreaders/",97,100,100,96,90
"/guides/screenreaders/android/talkback/",96,100,95,100,90
"/guides/screenreaders/ios/voiceover/",98,100,100,100,90
"/guides/screenreaders/jaws/",96,100,95,100,90
"/guides/screenreaders/macos/voiceover/",96,100,95,100,90
"/guides/screenreaders/narrator/",96,100,95,100,90
"/guides/screenreaders/nvda/",98,100,100,100,90
"/guides/wcag/",98,100,100,100,90
"/guides/wcag/operable/",98,100,100,100,90
"/guides/wcag/perceivable/",98,100,100,100,90
"/guides/wcag/robust/",98,100,100,100,90
"/guides/wcag/understandable/",98,100,100,100,90
"/html/",98,100,100,100,90
"/html/a",98,100,100,100,90
"/html/abbr",98,100,100,100,90
"/html/address",98,100,100,100,90
"/html/area",98,100,100,100,90
"/html/article",98,100,100,100,90
"/html/aside",98,100,100,100,90
"/html/audio",97,100,100,96,90
"/html/b",98,100,100,100,90
"/html/base",98,100,100,100,90
"/html/bdi",98,100,100,100,90
"/html/bdo",98,100,100,100,90
"/html/blockquote",98,100,100,100,90
"/html/body",98,100,100,100,90
"/html/br",98,100,100,100,90
"/html/button",98,100,100,100,90
"/html/canvas",98,100,100,100,90
"/html/caption",98,100,100,100,90
"/html/cite",98,100,100,100,90
"/html/code",96,100,92,100,90
"/html/col",98,100,100,100,90
"/html/colgroup",98,100,100,100,90
"/html/data",98,100,100,100,90
"/html/datalist",98,100,100,100,90
"/html/dd",98,100,100,100,90
"/html/del",98,100,100,100,90
"/html/details",98,100,100,100,90
"/html/dfn",98,100,100,100,90
"/html/dialog",98,100,100,100,90
"/html/div",98,100,100,100,90
"/html/dl",98,100,100,100,90
"/html/dt",98,100,100,100,90
"/html/em",98,100,100,100,90
"/html/embed",98,100,100,100,90
"/html/fieldset",98,100,100,100,90
"/html/figcaption",97,100,100,96,91
"/html/figure",97,100,100,96,91
"/html/footer",98,100,100,100,90
"/html/form",98,100,100,100,90
"/html/head",98,100,100,100,90
"/html/header",98,100,100,100,90
"/html/hgroup",98,100,100,100,90
"/html/hr",98,100,100,100,90
"/html/html",96,100,92,100,90
"/html/i",98,100,100,100,90
"/html/iframe",98,100,100,100,90
"/html/img",97,100,100,96,91
"/html/input",98,100,100,100,90
"/html/ins",98,100,100,100,90
"/html/kbd",98,100,100,100,90
"/html/label",98,100,100,100,90
"/html/legend",98,100,100,100,90
"/html/li",98,100,100,100,90
"/html/link",96,100,92,100,90
"/html/main",98,100,100,100,90
"/html/map",96,100,92,100,90
"/html/mark",98,100,100,100,90
"/html/menu",98,100,100,100,90
"/html/meta",96,100,92,100,90
"/html/meter",98,100,100,100,90
"/html/nav",98,100,100,100,90
"/html/noscript",98,100,100,100,90
"/html/object",98,100,100,100,90
"/html/ol",98,100,100,100,90
"/html/optgroup",98,100,100,100,90
"/html/option",98,100,100,100,90
"/html/output",98,100,100,100,90
"/html/p",98,100,100,100,90
"/html/picture",97,100,100,96,91
"/html/pre",98,100,100,100,90
"/html/progress",98,100,100,100,90
"/html/q",98,100,100,100,90
"/html/ruby",98,100,100,100,90
"/html/s",98,100,100,100,90
"/html/samp",98,100,100,100,90
"/html/script",96,100,92,100,90
"/html/search",98,100,100,100,90
"/html/section",98,100,100,100,90
"/html/select",98,100,100,100,90
"/html/slot",98,100,100,100,90
"/html/small",98,100,100,100,90
"/html/source",97,100,100,96,91
"/html/span",98,100,100,100,90
"/html/strong",98,100,100,100,90
"/html/style",98,100,100,100,90
"/html/sub",98,100,100,100,90
"/html/summary",98,100,100,100,90
"/html/sup",98,100,100,100,90
"/html/table",98,100,100,100,90
"/html/tbody",98,100,100,100,90
"/html/td",98,100,100,100,90
"/html/template",96,100,95,100,90
"/html/textarea",98,100,100,100,90
"/html/tfoot",98,100,100,100,90
"/html/th",98,100,100,100,90
"/html/thead",98,100,100,100,90
"/html/time",98,100,100,100,90
"/html/title",98,100,100,100,91
"/html/tr",98,100,100,100,90
"/html/track",98,100,100,100,90
"/html/u",98,100,100,100,90
"/html/ul",98,100,100,100,90
"/html/var",98,100,100,100,90
"/html/video",97,100,100,96,90
"/html/wbr",98,100,100,100,90
